Acétate de baryum monohydraté,Barium acetate monohydrate,,Produit non contrôlé,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique baryum, composés hydrosolubles, n.s.a (non spécifié autrement). La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acide acétique à plus de 80%,"Acetic acid, more than 80%",,"B3, E",Non requise,
Acide acétique en solution aqueuse à plus de 10 %  jusqu'à 80 %,Acetic acid 10 to 80 %,,"B3, E",Non requise,Les données disponibles ne nous permettent pas de déterminer précisément à partir de quelle teneur ces solutions sont combustibles.
Acide citrique 40%,Citric acid 40%,,E,Non requise,
Acide formique 85%,Formic acid 85%,,"B3, E",Non requise,
Acide formique 90%,Formic acid 90%,,"B3, E",Non requise,
Acide nitrique 60%,Nitric acid 60%,,"C, E",Non requise,
"Acide nitrique 61,3%","Nitric acid 61,3%",,"C, E",Non requise,
Acide nitrique 63%,Nitric acid 63%,,"C, E",Non requise,
Acide nitrique 67%,Nitric acid 67%,,"C, E",Non requise,
"Acide nitrique 67,18 %","Nitric acid 67,18 %",,"C, E",Non requise,
Acide nitrique 70%,Nitric acid 70%,,"C, E",Non requise,
Acide nitrique 90%,Nitric acid 90%,,"C, E",Non requise,
Acide phosphorique 35%,Phosphoric acid 35%,,E,Non requise,
Acide phosphorique en solution aqueuse à 85 % ou moins,Phosphoric acid 85 % or less,,E,"1,0%",
"Acide sulfurique 21,7% (5N)","Sulfuric acid 21,7% (5N)",,"D1A, E",Non requise,
Acide sulfurique 35% (9N),Sulfuric acid 35% (9N),,"D1A, E",Non requise,
"Acide sulfurique 36% (9,3N)","Sulfuric acid 36% (9,3N)",,"D1A, E",Non requise,
Acide sulfurique 38% (10N),Sulfuric acid 38% (10N),,"D1A, E",Non requise,
"Acide sulfurique 50% (14,2N)","Sulfuric acid 50% (14,2N)",,"D1A, E",Non requise,
"Acide sulfurique 70-75% (23-25,5N)","Sulfuric acid 70-75% (23-25,5N)",,"D1A, E",Non requise,
"Acide sulfurique 85% (30,8)","Sulfuric acid 85% (30,8)",,"D1A, E",Non requise,
Acide sulfurique à 51 % ou moins,Sulfuric acid  51 %  or less,,"D1A, E",Non requise,"Les solutions d'acide sulfurique de 6,3 à 31,4 % sont classifiées D1B : CL50 inhalation/4 heures (souris) entre 500 à 2 500 mg/m³."
Acide sulfurique à plus de 51 %,"Sulfuric acid, more than 51 %",,"D1A, E",Non requise,
Alcool isopropylique 70%,Isopropyl alcohol 70%,,"B2, D2B",Non requise,
Alcool méthylique 28%,Methyl alcohol 28%,,"B2, D1B, D2A, D2B",Non requise,
Amidon soluble 1%,Soluble starch 1%,,Produit non contrôlé,Non requise,
Chlorure de choline 60%,Choline chloride 60%,,Produit non contrôlé,Non requise,
Chlorure de choline 70%,Choline chloride 70%,,Produit non contrôlé,Non requise,
"Chlorure de potassium 23,8%","Potassium chloride 23,8%",,Produit non contrôlé,Non requise,
"Chlorure ferrique 10% (0,669N)","Ferric chloride 10% (0,669N)",,E,Non requise,
"Chlorure ferrique 2% (0,125N)","Ferric chloride 2% (0,125N)",,E,Non requise,
Couleur caramel I,Caramel color I,,Produit non contrôlé,Non requise,
Couleur caramel II,Caramel color II,,Produit non contrôlé,Non requise,
Couleur caramel III,Caramel color III,,Produit non contrôlé,Non requise,
Couleur caramel IV,Caramel color IV,,Produit non contrôlé,Non requise,
EDTA tétrasodique 39%,Tetrasodium ethylene diamine tetraacetate 39%,,D2B,Non requise,
EDTA tétrasodique 50%,Tetrasodium ethylene diamine tetraacetate 50%,,D2B,Non requise,
Eosine 1%,Eosin 1%,,Produit non contrôlé,Non requise,
Glycérophosphate de potassium 75%,Potassium glycerophosphate 75%,,Produit non contrôlé,Non requise,
Hydroxyde d'ammonium 1N,Ammonium hydroxide 1N,,E,"1,0%",
Hydroxyde de sodium  2%,Sodium hydroxide  2%,,E,Non requise,
"Hydroxyde de sodium  2,5%",Sodium hydroxide  2.5%,,E,Non requise,
Hydroxyde de sodium  5%,Sodium hydroxide  5%,,E,Non requise,
"Hydroxyde de sodium 0,04N","Sodium hydroxide 0,04N",,E,Non requise,
"Hydroxyde de sodium 0,08%","Sodium hydroxide 0,08%",,E,Non requise,
Hydroxyde de sodium 10%,Sodium hydroxide 10%,,E,Non requise,
Hydroxyde de sodium 16%,Sodium hydroxide 16%,,E,Non requise,
Hydroxyde de sodium 20%,Sodium hydroxide 20%,,E,Non requise,
Hydroxyde de sodium 40%,Sodium hydroxide 40%,,E,Non requise,
"Hydroxyde de sodium 8,7N","Sodium hydroxide 8,7N",,E,Non requise,
"Hydroxyde de sodium en solution aqueuse 0,04%","Sodium hydroxide 0,04% in aqueous solution",,E,Non requise,
"Hydroxyde de sodium en solution aqueuse 0,4%","Sodium hydroxide 0,4% in aqueous solution",,E,Non requise,
Hydroxyde de sodium en solution aqueuse 4%,Sodium hydroxide 4% in aqueous solution,,E,Non requise,
Hydroxyde de sodium en solution aqueuse 50%,Sodium hydroxide 50 % in aqueous solution,,E,Non requise,
Lactate de potassium 60%,Potassium lactate 60%,,Produit non contrôlé,Non requise,
Lactate de sodium 60%,Sodium lactate 60%,,Produit non contrôlé,Non requise,
Magnésium (poudre),Magnesium (powder),,"B4, B6","1,0%",
Peroxyde d'hydrogène 35%,Hydrogen peroxide 35%,,"C, D1B, E, F",Non requise,
Peroxyde d'hydrogène 40%,Hydrogen peroxide 40%,,"C, D1B, E, F",Non requise,
Peroxyde d'hydrogène 50%,Hydrogen peroxide 50%,,"C, D1B, E, F",Non requise,
Peroxyde d'hydrogène 65%,Hydrogen peroxide 65%,,"C, D1B, E, F",Non requise,
Peroxyde d'hydrogène 70%,Hydrogen peroxide 70%,,"C, D1B, E, F",Non requise,
Peroxyde d'hydrogène 75%,Hydrogen peroxide 75%,,"C, D1B, E, F",Non requise,
Peroxyde d'hydrogène 80%,Hydrogen peroxide 80%,,"C, D1B, E, F",Non requise,
