NomFrançais,NomAnglais,CAS,Classification,PourcentageDeDivulgation,Commentaire
Abate,Temephos,3383-96-8,Not controlled product,Non requise,
Abiétate de méthyle,Methyl abietate,127-25-3,Classification not available,"1,0%",
Abiétate de sodium,Sodium abietate,14351-66-7,Not controlled product,Non requise,
Accélérine,"N,N-Dimethyl-p-nitrosoaniline",138-89-6,Not controlled product,Non requise,
Acénaphtène,Acenaphthene,83-32-9,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acenaphthènequinone,Acenaphthoquinone,82-86-0,Not controlled product,Non requise,
Acenaphtylène,Acenaphthylene,208-96-8,Not controlled product,Non requise,
Acétaldéhyde,Acetaldehyde,75-07-0,Class B2 - Flammable liquids,"0,1%",
Acétaldéhyde,Acetaldehyde,75-07-0,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétamide,Acetamide,60-35-5,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétamidobenzènestibonate de sodium (para-),"p-Acetamidobenzenestibonic acid, sodium salt",138-31-8,Classification not available,"1,0%",
Acétamino-2 fluorène,2-Acetylaminofluorene,53-96-3,Classification not available,"0,1%",
Acétaminophène,Acetaminophen,103-90-2,Not controlled product,Non requise,
Acétanilide,Acetanilide,103-84-4,Not controlled product,Non requise,
Acétarsone,Acetarsol,97-44-9,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Acétarsone,Acetarsol,97-44-9,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate chromique,Chromic acetate,1066-30-4,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acétate cobalteux,Cobaltous acetate,71-48-7,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate cobalteux,Cobaltous acetate,71-48-7,Class D2B - Toxic material causing other toxic effects,"0,1%",
Acétate cobalteux tétrahydraté,Cobalt diacetate tetrahydrate,6147-53-1,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate cobalteux tétrahydraté,Cobalt diacetate tetrahydrate,6147-53-1,Class D2B - Toxic material causing other toxic effects,"0,1%",
Acétate cobaltique,Cobaltic acetate,917-69-1,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate cobaltique,Cobaltic acetate,917-69-1,Class D2B - Toxic material causing other toxic effects,"0,1%",
Acétate d'alcool furfurylique,Furfuryl alcohol acetate,623-17-6,Class B3 - Combustible liquids,"1,0%",
Acétate d'alkyle en C6-C8 ramifié,"Acetic acid, C6-C8 branched alkyl esters",90438-79-2,Not controlled product,Non requise,
Acétate d'allyle,Allyl acetate,591-87-7,Class B2 - Flammable liquids,"1,0%",
Acétate d'allyle,Allyl acetate,591-87-7,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Acétate d'allyle,Allyl acetate,591-87-7,Class D2B - Toxic material causing other toxic effects,"1,0%",
Acétate d'aluminium,Aluminum acetate,139-12-8,Not controlled product,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique aluminium, sels hydrosolubles, n.s.a (non spécifié autrement). La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 dans un produit contrôlé."
Acétate d'aluminium basique,Aluminum subacetate,142-03-0,Not controlled product,Non requise,
Acétate d'ammonium,Ammonium acetate,631-61-8,Not controlled product,Non requise,
Acétate d'amyle normal,Normal amyl acetate,628-63-7,Class B2 - Flammable liquids,"1,0%",
Acétate d'amyle secondaire,Secondary amyl acetate,626-38-0,Class B2 - Flammable liquids,"1,0%",
Acétate d'antimoine (III),Antimony(III) acetate,6923-52-0,Classification not available,"1,0%",
Acétate d'argent,Silver acetate,563-63-3,Not controlled product,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique argent, composés hydrosolubles n.s.a (non spécifié autrement). La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acétate de baryum,Barium acetate,543-80-6,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acétate de baryum monohydraté,Barium acetate monohydrate,,Not controlled product,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique baryum, composés hydrosolubles, n.s.a (non spécifié autrement). La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acétate de butyle normal,Normal butyl acetate,123-86-4,Class B2 - Flammable liquids,"1,0%",
Acétate de butyle secondaire,Secondary butyl acetate,105-46-4,Class B2 - Flammable liquids,"1,0%",
Acétate de butyle tertiaire,Tertiairy butyl acetate,540-88-5,Class B2 - Flammable liquids,"1,0%",
Acétate de cadmium,Cadmium acetate,543-90-8,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Acétate de cadmium,Cadmium acetate,543-90-8,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate de calcium,Calcium acetate,62-54-4,Not controlled product,Non requise,
Acétate de calcium monohydraté,Calcium acetate monohydrate,5743-26-0,Not controlled product,Non requise,
Acétate de cellulose,Cellulose acetate,9004-35-7,Not controlled product,Non requise,
Acétate de césium,Cesium acetate,3396-11-0,Not controlled product,Non requise,
Acétate de cyclohexyle,Cyclohexyl acetate,622-45-7,Classification not available,"1,0%",
Acétate de l'éther monobutylique d'éthylène glycol,Ethylene glycol butyl ether acetate,112-07-2,Class B3 - Combustible liquids,"1,0%",
Acétate de l'éther monométhylique du propylène glycol,Propylene glycol monomethyl ether acetate,108-65-6,Class B3 - Combustible liquids,"1,0%",
Acétate de lithium,Lithium acetate,546-89-4,Not controlled product,Non requise,
Acétate de lithium dihydraté,Lithium acetate dihydrate,6108-17-4,Not controlled product,Non requise,
Acétate de magnésium,Magnesium acetate,142-72-3,Not controlled product,Non requise,
Acétate de magnésium tétrahydraté,Magnesium acetate tetrahydrate,16674-78-5,Not controlled product,Non requise,
Acétate de manganèse (II),Manganese(II)acetate,638-38-0,Classification not available,"1,0%",
Acétate de méthylazoxyméthyle,Methylazoxymethyl acetate,592-62-1,Classification not available,"1,0%",
Acétate de méthyle,Methyl acetate,79-20-9,Class B2 - Flammable liquids,"1,0%",
Acétate de méthyle,Methyl acetate,79-20-9,Class D2B - Toxic material causing other toxic effects,"1,0%",
Acétate de méthylglycol,Methylglycol acetate,110-49-6,Class B3 - Combustible liquids,"0,1%",
Acétate de méthylglycol,Methylglycol acetate,110-49-6,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate de n-hexyle,n-Hexyl acetate,142-92-7,Classification not available,"1,0%",
Acétate de nickel,Nickel acetate,373-02-4,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Acétate de nickel,Nickel acetate,373-02-4,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate de nickel tétrahydraté,Nickel acetate tetrahydrate,6018-89-9,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Acétate de nickel tétrahydraté,Nickel acetate tetrahydrate,6018-89-9,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate de phénéthyle,Phenethyl acetate,103-45-7,Not controlled product,Non requise,
Acétate de phényle,Phenyl acetate,122-79-2,Class B3 - Combustible liquids,"1,0%",
Acétate de plomb anhydre,Lead acetate,301-04-2,Classification not available,"0,1%",
Acétate de plomb trihydraté,Lead acetate trihydrate,6080-56-4,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Acétate de plomb trihydraté,Lead acetate trihydrate,6080-56-4,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate de potassium,Potassium acetate,127-08-2,Not controlled product,Non requise,
Acétate de propyle normal,Normal propyl acetate,109-60-4,Class B2 - Flammable liquids,"1,0%",
Acétate de sodium,Sodium acetate,127-09-3,Not controlled product,Non requise,
Acétate de sodium trihydraté,Sodium acetate trihydrate,6131-90-4,Not controlled product,Non requise,
Acétate de tolyle (méta-),m-Tolyl acetate,122-46-3,Not controlled product,Non requise,
Acétate de tolyle (para-),p-Tolyl acetate,140-39-6,Class B3 - Combustible liquids,"1,0%",
Acétate de triphénylétain,Triphenyltin acetate,900-95-8,Classification not available,"0,1%",
Acétate de vinyle,Vinyl acetate,108-05-4,Class B2 - Flammable liquids,"0,1%",
Acétate de vinyle,Vinyl acetate,108-05-4,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Acétate de vinyle,Vinyl acetate,108-05-4,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate de vinyle,Vinyl acetate,108-05-4,Class F - Dangerously reactive materials,"0,1%",
Acétate de zinc,Zinc acetate,557-34-6,Class D2B - Toxic material causing other toxic effects,"1,0%",
Acétate de zinc dihydraté,Zinc acetate dihydrate,5970-45-6,Not controlled product,Non requise,
Acétate d'éthyle,Ethyl acetate,141-78-6,Class B2 - Flammable liquids,"1,0%",
Acétate d'éthylglycol,Ethylglycol acetate,111-15-9,Class B3 - Combustible liquids,"0,1%",
Acétate d'éthylglycol,Ethylglycol acetate,111-15-9,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétate d'eugényle,Eugenyl acetate,93-28-7,Not controlled product,Non requise,
Acétate d'heptyle,Heptyl acetate,112-06-1,Class B3 - Combustible liquids,"1,0%",
Acétate d'hexyle secondaire,Secondary hexyl acetate,108-84-9,Class B3 - Combustible liquids,"1,0%",
Acétate d'isoamyle,Isoamyl acetate,123-92-2,Class B2 - Flammable liquids,"1,0%",
